trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'e': 0.08166451475655553, 'a': 0.5}",25,0,-45.44473903681424,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
125,False,"{'e': 0.08003122446142442, 'a': 0.5}",20,0,-21.24861038773723,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
126,False,"{'e': 0.07843059997219594, 'a': 0.5}",30,0,-37.26400483266552,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
127,False,"{'e': 0.07686198797275202, 'a': 0.5}",35,0,-87.29130469031116,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
128,False,"{'e': 0.07532474821329699, 'a': 0.5}",25,0,-22.39709589914021,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
129,False,"{'e': 0.07381825324903105, 'a': 0.5}",20,0,-22.216994688597183,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
130,False,"{'e': 0.07234188818405042, 'a': 0.5}",25,0,-31.71419474283893,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
131,False,"{'e': 0.07089505042036941, 'a': 0.5}",25,0,-51.71420364927514,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
132,False,"{'e': 0.06947714941196202, 'a': 0.5}",30,0,-75.14636748818278,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
133,False,"{'e': 0.06808760642372277, 'a': 0.5}",25,0,-60.1084431369992,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
134,False,"{'e': 0.06672585429524831, 'a': 0.5}",30,0,-57.475619952065564,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
135,False,"{'e': 0.06539133720934334, 'a': 0.5}",20,0,-25.165154632957872,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
136,False,"{'e': 0.06408351046515648, 'a': 0.5}",20,0,-21.592619748964232,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
