trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'e': 0.052360893770972874, 'a': 0.5}",20,10,24.03316424752186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.05131367589555342, 'a': 0.5}",30,11,4.803774252953129,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'e': 0.05028740237764235, 'a': 0.5}",20,12,15.109611253566142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'e': 0.0492816543300895, 'a': 0.5}",30,0,12.699892591948961,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",20,0,34.94212482925135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0.0, 'a': 0.0}",20,16,7.346789867030688,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",25,11,25.724281683165064,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",20,3,28.26666561680606,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",25,13,19.90227884889687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0.0, 'a': 0.0}",20,14,12.853585012929969,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",20,12,17.08475961144554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",30,13,25.960315935664394,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",20,6,25.221483913584635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",30,8,39.629339386929175,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
